,일련번호,의료기관명,병상수,소 재 지,개설주체_민간 또는공공,개설일자,전화번호,구,행정동명
334,577,참예쁜의원,0,"경상남도 창원시 의창구 원이대로 283 (봉곡동, 청마상가)",민간,1990-12-05,055-238-1700,의창구,
335,578,조내과의원,0,"경상남도 창원시 의창구 창이대로309번길 11 (봉곡동, 쌍둥이상가B동2층)",민간,1990-11-30,055-237-2552,의창구,
336,579,엘르메디산부인과의원,9,"경상남도 창원시 의창구 서상로 1 (동정동, 엘르메디의원)",민간,1990-09-14,055-253-2111,의창구,
337,580,허내과의원,0,경상남도 창원시 의창구 소계로84번길 3 (소계동),민간,1990-05-01,055-296-8877,의창구,
338,581,고외과의원,0,"경상남도 창원시 성산구 동산로 124 (상남동, 성원종합상가504호)",민간,1990-05-01,055-281-0156,성산구,상남동
339,582,봉의원,0,경상남도 창원시 의창구 창이대로 201 (봉곡동),민간,1989-04-18,055-288-0181,의창구,
340,583,이재철피부과의원,0,"경상남도 창원시 의창구 원이대로 587 (용호동, 정우상가305호)",민간,1989-03-25,055-281-3456,의창구,
341,584,최연극내과의원,0,"경상남도 창원시 의창구 원이대로 587 (용호동, 정우상가301호)",민간,1989-02-14,055-281-5356,의창구,
342,585,윤종즙이비인후과의원,0,"경상남도 창원시 의창구 원이대로 587 (용호동, 정우상가3층)",민간,1988-10-05,055-287-8667,의창구,
343,586,제민의원,0,경상남도 창원시 성산구 마디미로3번길 17 (상남동),민간,1985-01-30,055-282-7002,성산구,상남동
344,587,김선경외과 박찬모내과의원,0,"경상남도 창원시 성산구 원이대로473번길 13 (반림동, 2층)",민간,1983-05-28,055-283-6700,성산구,
345,588,정내과의원,0,"경상남도 창원시 성산구 용지로 102 (중앙동, 개나리상가3층)",민간,1980-01-31,055-279-0772,성산구,중앙동
346,589,편하지의원,0,"경상남도 창원시 마산회원구 용마로 130, 5층 (양덕동)",민간,2020-10-08,1833-4275,마산회원구,
347,590,몸편한재활의학과의원,0,"경상남도 창원시 마산회원구 3·15대로 733, 2층 (합성동)",민간,2020-06-08,055-715-7150,마산회원구,
348,591,연세편한마디내과의원,0,"경상남도 창원시 마산회원구 3·15대로 770, 2,3층 (합성동)",민간,2020-03-21,055-223-8275,마산회원구,
349,592,더나은의원,0,"경상남도 창원시 마산회원구 삼호로 80 (양덕동, 메트로시티 2단지)",민간,2020-02-24,055-292-3322,마산회원구,
350,593,엠에스피부과의원,0,"경상남도 창원시 마산합포구 동서동2길 60, 3층 307~310호 (신포동2가)",민간,2020-01-30,055-243-3600,마산합포구,
351,594,서울삼성정형외과의원,0,"경상남도 창원시 마산합포구 합포로 21, IBK저축은행 3층 (수성동)",민간,2019-12-02,055-221-0333,마산합포구,
352,595,박지성비뇨의학과의원,0,"경상남도 창원시 마산회원구 3·15대로 780, 2층 (합성동)",민간,2019-12-02,055-293-6188,마산회원구,
353,596,정다운내과의원,0,경상남도 창원시 마산합포구 진동면 해양관광로 14,민간,2019-10-07,055-713-7531,마산합포구,진동면
354,597,척고은마취통증의학과의원,0,경상남도 창원시 마산합포구 동서동2길 60 (신포동2가),민간,2019-10-01,055-6021-000,마산합포구,
355,598,내서바른재활의학과의원,0,"경상남도 창원시 마산회원구 내서읍 삼계로 7, 삼계 경남프라자 2층",민간,2019-05-09,055-296-8575,마산회원구,내서읍
356,599,박주현산부인과의원,0,"경상남도 창원시 마산회원구 용마로 130, 메트로센텀 406호 (양덕동)",민간,2019-04-10,055-715-2200,마산회원구,
357,600,서울아산민피부과의원,0,"경상남도 창원시 마산합포구 3·15대로 261, 2층 (중앙동3가)",민간,2019-03-25,055-242-8788,마산합포구,중앙동
358,601,메트로 정형외과의원,0,"경상남도 창원시 마산회원구 양덕로 120, 금천빌딩 2층 (양덕동)",민간,2019-02-01,055-296-0119,마산회원구,
359,602,더블유이비인후과의원,0,"경상남도 창원시 마산합포구 월영남로 3, 403호 (해운동)",민간,2019-01-07,055-222-4008,마산합포구,
360,603,조수현의원,0,"경상남도 창원시 마산합포구 진동면 삼진의거대로 654, 진동농업협동조합 2층",민간,2018-12-24,055-271-8575,마산합포구,진동면
361,604,시원한통사랑외과의원,0,"경상남도 창원시 마산회원구 내서읍 삼계로 12, 4층 402호",민간,2018-09-13,055-231-7573,마산회원구,내서읍
362,605,현동라온소아청소년과의원,0,"경상남도 창원시 마산합포구 현동1길 4-10, 2층 202호 (현동)",민간,2018-08-23,055-246-7552,마산합포구,현동
363,606,와이즈미피부과의원,0,"경상남도 창원시 마산합포구 삼호로 45, 2층 (산호동)",민간,2018-03-08,055-715-1230,마산합포구,산호동
364,607,마산역신통의원,0,"경상남도 창원시 마산회원구 마산역광장로 2, 2층 (석전동)",민간,2018-02-14,055-715-2075,마산회원구,석전동
365,608,서울대화외과의원,25,"경상남도 창원시 마산합포구 삼호로 45, 4, 5층 (산호동)",민간,2018-02-05,055-241-2119,마산합포구,산호동
366,609,백이비인후과의원,0,"경상남도 창원시 마산합포구 해안대로 7, 경남은행 301, 304호 (월남동5가)",민간,2018-01-11,055-224-0911,마산합포구,
367,610,바른손길마취통증의학과의원,0,"경상남도 창원시 마산합포구 삼호로 45, 3층 (산호동)",민간,2017-12-07,055-602-0088,마산합포구,산호동
368,611,수미래의원,0,"경상남도 창원시 마산합포구 월영남로 3, 3층 (해운동)",민간,2017-09-15,055-247-7080,마산합포구,
369,612,미앤미의원,0,"경상남도 창원시 마산회원구 양덕로 190, 7층 (석전동)",민간,2017-03-16,055-255-8100,마산회원구,석전동
370,613,서울가정의학과의원,0,"경상남도 창원시 마산합포구 현동4길 5, 3층 2, 3호 (현동)",민간,2016-09-13,055-242-7583,마산합포구,현동
371,614,메디엘의원,0,"경상남도  창원시 마산회원구 3·15대로 733,3층(합성동)",민간,2016-08-01,055-716-1717,마산회원구,
372,615,양덕제일의원,0,경상남도 창원시 마산회원구 양덕로 145 (양덕동),민간,2016-05-09,055-296-2600,마산회원구,
373,616,서울명외과의원,0,경상남도 창원시 마산합포구 진동면 진북산업로 31,민간,2016-03-10,055-272-0083,마산합포구,진동면
374,617,리엔신경과의원,0,경상남도 창원시 마산회원구 내서읍 삼계로 10 (튼튼한약국),민간,2016-02-29,055-222-7582,마산회원구,내서읍
375,618,제니트비뇨기과의원,0,"경상남도 창원시 마산회원구 내서읍 삼계로 7, 경남프라자동 6층 (가나약국)",민간,2016-01-06,055-601-1122,마산회원구,내서읍
376,619,더하얀의원,0,"경상남도 창원시 마산회원구 율림교로 13, 2층 204호 (양덕동, 메트로엠)",민간,2015-12-10,055-294-8800,마산회원구,
377,620,신세계제통의원,0,"경상남도 창원시 마산회원구 율림교로 13, 5층 (양덕동, 메트로엠)",민간,2015-11-17,055-255-9914,마산회원구,
378,621,새삼성내과의원,0,경상남도 창원시 마산회원구 내서읍 삼계4길 34,민간,2015-09-04,055-231-5502,마산회원구,내서읍
379,622,중앙이비인후과의원,4,"경상남도 창원시 마산합포구 3·15대로 192 (중앙동2가, 중앙동메디칼)",민간,2015-02-11,055-241-0008,마산합포구,중앙동
380,623,리엔의원,0,경상남도 창원시 마산회원구 3·15대로 737 (합성동),민간,2014-04-24,055-255-1380,마산회원구,
381,624,서울의원,0,경상남도 창원시 마산회원구 구암서6길 3 (구암동),민간,2013-10-29,055-294-8275,마산회원구,
382,625,합포중앙의원,0,경상남도 창원시 마산합포구 3·15대로 189 (중앙동2가),민간,2013-09-23,055-246-8275,마산합포구,중앙동
383,626,항도외과의원,10,"경상남도 창원시 마산합포구 3·15대로 255 (중앙동3가, 경남데파트)",민간,2013-07-25,055-244-7242,마산합포구,중앙동
384,627,라파의원,0,"경상남도 창원시 마산회원구 석전동13길 18-30, 2층 (석전동)",민간,2013-05-21,055-295-3700,마산회원구,석전동
385,628,진동삼성내과의원,0,"경상남도 창원시 마산합포구 진동면 삼진의거대로 618, 2층",민간,2013-04-22,055-271-5931,마산합포구,진동면
386,629,김앤김내과의원,0,"경상남도 창원시 마산회원구 북성로 106 (회원동, 환금프라자)",민간,2013-03-07,055-246-0210,마산회원구,
387,630,박영호내과의원,0,"경상남도 창원시 마산합포구 해안대로 7 (월남동5가, 경남은행)",민간,2012-10-22,055-243-8575,마산합포구,
388,631,올바른남성의원,2,"경상남도 창원시 마산회원구 3·15대로 744 (합성동, 송하빌딩)",민간,2012-08-23,055-251-2514,마산회원구,
389,632,아인스안과의원,0,"경상남도 창원시 마산회원구 3·15대로 778 (합성동, 정비인후과의원)",민간,2012-07-02,055-294-7442,마산회원구,
390,633,메트로이비인후과의원,0,"경상남도 창원시 마산회원구 양덕서로 47 (양덕동, 메트로스퀘어5)",민간,2012-04-25,055-299-2552,마산회원구,
391,634,참제일의원,0,"경상남도 창원시 마산합포구 용마로 51 (산호동, 참빛제일의원)",민간,2012-03-06,055-222-0436,마산합포구,산호동
392,635,큰나무정형외과의원,0,경상남도 창원시 마산합포구 합포로 64 (동성동),민간,2012-01-17,055-221-3334,마산합포구,
393,636,BBC의원,1,"경상남도 창원시 마산회원구 3·15대로 775 (합성동, 합성메디칼센타)",민간,2011-07-28,055-256-9633,마산회원구,
394,637,쉬즈미의원,0,경상남도 창원시 마산회원구 내서읍 호원로 385,민간,2011-05-17,055-231-6617,마산회원구,내서읍
395,638,상쾌한항맥외과의원,7,"경상남도 창원시 마산합포구 해안대로 7 (월남동5가, 경남은행)",민간,2010-06-10,055-222-0975,마산합포구,
396,639,삼성시원비뇨기과의원,3,"경상남도 창원시 마산회원구 3·15대로 727 (합성동, 매디칼센타)",민간,2010-04-20,055-252-1100,마산회원구,
397,640,하희근내과의원,0,경상남도 창원시 마산회원구 내서읍 삼계로 9 (남해횟집),민간,2010-03-09,055-232-0083,마산회원구,내서읍
398,641,회원마취통증의학과의원,0,"경상남도 창원시 마산회원구 북성로 138 (회원동, 천지리치빌)",민간,2010-02-16,055-246-7585,마산회원구,
399,642,마산성모안과의원,0,"경상남도 창원시 마산합포구 합포로 28 (남성동, 대동빌딩)",민간,2010-02-04,055-222-7107,마산합포구,
400,643,우리들의원,0,"경상남도 창원시 마산합포구 천하장사로 87 (상남동, 우신뉴타워아파트)",민간,2009-12-14,055-244-1230,마산합포구,상남동
401,644,소피마르소산부인과의원,5,"경상남도 창원시 마산회원구 3·15대로 775 (합성동, 합성메디칼센타)",민간,2009-12-09,055-251-7785,마산회원구,
402,645,깨끗한의원,0,경상남도 창원시 마산회원구 3·15대로 774-1 (합성동),민간,2009-09-08,055-292-7582,마산회원구,
403,646,우일정형외과의원,20,"경상남도 창원시 마산합포구 3·15대로 192 (중앙동2가, 중앙동메디칼)",민간,2009-08-14,055-243-7700,마산합포구,중앙동
404,647,마산백내과의원,0,"경상남도 창원시 마산회원구 3·15대로 778 (합성동, 정비인후과의원)",민간,2009-08-07,055-252-1980,마산회원구,
405,648,편한몸의원,0,"경상남도 창원시 마산회원구 구암남10길 26 (구암동, 경일의원)",민간,2009-01-09,055-251-0202,마산회원구,
406,649,삼성내과의원,0,"경상남도 창원시 마산합포구 월영남로 42 (월영동, 대동아파트)",민간,2008-12-29,055-247-7275,마산합포구,월영동
407,650,연세소아청소년과의원,0,경상남도 창원시 마산회원구 내서읍 광려천북로 184-1 (눈나라안경),민간,2008-11-07,055-231-7744,마산회원구,내서읍
408,651,김현수이비인후과의원,0,경상남도 창원시 마산회원구 내서읍 삼계4길 17 (메디팜중앙약국),민간,2008-09-03,055-232-7520,마산회원구,내서읍
409,652,친절신경외과의원,21,"경상남도 창원시 마산합포구 3·15대로 293 (서성동, 늘푸른선미술학원)",민간,2008-09-01,055-244-6990,마산합포구,
410,653,회산흉부외과의원,0,"경상남도 창원시 마산합포구 북성로 99 (상남동, 동광빌딩)",민간,2008-08-01,055-223-1177,마산합포구,상남동
411,654,선비뇨기과의원,1,"경상남도 창원시 마산회원구 3·15대로 800 (합성동, 선비뇨기과의원)",민간,2008-05-01,055-253-7582,마산회원구,
412,655,행복한정형외과의원,0,경상남도 창원시 마산회원구 내서읍 호계본동로 17-2 (코오롱그랜드쇼핑),민간,2008-02-14,055-232-7668,마산회원구,내서읍
413,656,아름다운피부과의원,0,"경상남도 창원시 마산회원구 3·15대로 744 (합성동, 송하빌딩)",민간,2007-11-30,055-295-8114,마산회원구,
414,657,미소마취통증의학과의원,0,"경상남도 창원시 마산회원구 3·15대로 768 (합성동, 마산시외버스터미널)",민간,2007-08-23,055-292-2002,마산회원구,
415,658,심앤장내과의원,0,"경상남도 창원시 마산합포구 3·15대로 192 (중앙동2가, 중앙동메디칼)",민간,2007-08-07,055-243-5600,마산합포구,중앙동
416,659,김성섭마취통증의학과의원,0,"경상남도 창원시 마산회원구 3·15대로 763 (합성동, 홍치과)",민간,2007-08-02,055-221-7051,마산회원구,
417,660,김진구내과의원,0,"경상남도 창원시 마산회원구 3·15대로 765-1 (합성동, 우성빌딩)",민간,2007-03-05,055-297-7585,마산회원구,
418,661,누리이비인후과의원,0,"경상남도 창원시 마산합포구 3·15대로 259 (중앙동3가, 경남한의사신협)",민간,2007-01-10,055-245-7585,마산합포구,중앙동
419,662,유경식정형외과의원,0,경상남도 창원시 마산회원구 내서읍 삼계로 9 (남해횟집),민간,2006-11-22,055-231-0808,마산회원구,내서읍
420,663,비앤에스의원,0,"경상남도 창원시 마산합포구 해안대로 7 (월남동5가, 경남은행)",민간,2006-11-15,055-246-7582,마산합포구,
421,664,효도마취통증의학과의원,0,"경상남도 창원시 마산합포구 합포로 56 (동성동, 패류살포양식수협)",민간,2006-11-10,055-221-7582,마산합포구,
422,665,굿모닝정형외과의원,0,"경상남도 창원시 마산회원구 북성로 106 (회원동, 환금프라자)",민간,2006-09-14,055-221-9061,마산회원구,
423,666,세화의원,0,"경상남도 창원시 마산합포구 자산서14길 95 (자산동, 상진힐프라자)",민간,2006-07-24,055-222-3400,마산합포구,자산동
424,667,바른몸정형외과의원,0,"경상남도 창원시 마산합포구 월영동로 1 (해운동, 한미메디칼센타)",민간,2006-06-22,055-243-4119,마산합포구,월영동
425,668,최이비인후과의원,0,경상남도 창원시 마산합포구 해안대로 3 (월남동5가),민간,2006-04-14,055-245-5075,마산합포구,
426,669,준이비인후과의원,0,경상남도 창원시 마산회원구 내서읍 삼계로 10 (튼튼한약국),민간,2006-03-22,055-231-4911,마산회원구,내서읍
427,670,우리정형외과신경외과의원,19,"경상남도 창원시 마산회원구 3·15대로 744 (합성동, 송하빌딩)",민간,2006-03-13,055-296-9700,마산회원구,
428,671,고운아이소아과의원,0,경상남도 창원시 마산회원구 내서읍 경남대로 937 (고운맘산부인과의원),민간,2006-01-13,055-231-9119,마산회원구,내서읍
429,672,고운맘산부인과의원,0,경상남도 창원시 마산회원구 내서읍 경남대로 937 (고운맘산부인과의원),민간,2006-01-13,055-231-8118,마산회원구,내서읍
430,673,편한수의원,0,경상남도 창원시 마산회원구 내서읍 상곡로 26-1 (열린약국),민간,2005-12-29,055-232-5775,마산회원구,내서읍
431,674,창원교도소의원,29,경상남도 창원시 마산회원구 송평로 39 (회성동),민간,2005-10-04,055-298-9011,마산회원구,회성동
432,675,한미메디내과진단방사선과의원,25,"경상남도 창원시 마산합포구 월영동로 1 (해운동, 한미메디칼센타)",민간,2005-10-04,055-245-8899,마산합포구,월영동
433,676,최은석이비인후과의원,0,경상남도 창원시 마산회원구 내서읍 호계본동로 17-2 (코오롱그랜드쇼핑),민간,2005-09-09,055-232-8276,마산회원구,내서읍
434,677,이앤조내과의원,0,"경상남도 창원시 마산합포구 서성로 48 (신포동2가, 대우메디칼빌딩)",민간,2005-09-06,055-244-7582,마산합포구,
435,678,위즈여성외과의원,0,"경상남도 창원시 마산합포구 해안대로 11 (해운동, 월드프라자)",민간,2005-06-02,055-245-5222,마산합포구,
436,679,합성삼성내과의원,0,"경상남도 창원시 마산회원구 3·15대로 785 (합성동, 거북이한의원)",민간,2005-03-28,055-292-5552,마산회원구,
437,680,신세계의원,0,경상남도 창원시 마산회원구 양덕서8길 9 (석전동),민간,2005-03-24,055-295-7568,마산회원구,석전동
438,681,속편한내과의원,0,"경상남도 창원시 마산회원구 3·15대로 750 (합성동, 마산시외버스터미널)",민간,2005-02-22,055-256-1075,마산회원구,
439,682,동원내과의원,0,경상남도 창원시 마산회원구 회원북13길 5 (회원동),민간,2004-10-25,055-242-7500,마산회원구,
440,683,배윤상내과의원,0,"경상남도 창원시 마산회원구 3·15대로 768 (합성동, 마산시외버스터미널)",민간,2004-10-18,055-252-7582,마산회원구,
441,684,예일항맥외과의원,6,"경상남도 창원시 마산회원구 3·15대로 645 (석전동, 예일메디컬센터)",민간,2004-09-14,055-297-5533,마산회원구,석전동
442,685,나래정형외과의원,0,"경상남도 창원시 마산회원구 3·15대로 662 (석전동, 나래정형외과)",민간,2004-08-17,055-253-0008,마산회원구,석전동
443,686,예일내과의원,0,"경상남도 창원시 마산회원구 3·15대로 645 (석전동, 예일메디컬센터)",민간,2004-05-13,055-255-7300,마산회원구,석전동
444,687,예일신경외과의원,0,"경상남도 창원시 마산회원구 3·15대로 645 (석전동, 예일메디컬센터)",민간,2004-04-26,055-296-8383,마산회원구,석전동
445,688,홍내과의원,0,"경상남도 창원시 마산합포구 자산삼거리로 2 (자산동, 남은빌딩)",민간,2004-03-03,055-246-0091,마산합포구,자산동
446,689,삼성안과의원,2,경상남도 창원시 마산회원구 내서읍 삼계로 12,민간,2004-02-09,055-231-3375,마산회원구,내서읍
447,690,김현중신경외과의원,0,"경상남도 창원시 마산합포구 용마로 45 (산호동, 대우약국)",민간,2003-07-14,055-221-7517,마산합포구,산호동
448,691,탑비뇨기과의원,0,경상남도 창원시 마산회원구 내서읍 경남대로 933,민간,2003-06-26,055-231-3646,마산회원구,내서읍
449,692,우리소아과의원,0,경상남도 창원시 마산회원구 3·15대로 605 (석전동),민간,2003-04-24,055-299-5275,마산회원구,석전동
450,693,세인의원,0,"경상남도 창원시 마산합포구 교방시장2길 23 (교방동, 경남은행)",민간,2003-04-03,055-242-7554,마산합포구,교방동
451,694,하나산부인과의원,0,"경상남도 창원시 마산회원구 3·15대로 765-1, 3층 (합성동, 우성빌딩)",민간,2003-03-10,055-295-0246,마산회원구,
452,695,파티마마취통증의학과의원,0,"경상남도 창원시 마산합포구 해안대로 7 (월남동5가, 경남은행)",민간,2003-02-24,055-245-4505,마산합포구,
453,696,김수영신경외과의원,0,"경상남도 창원시 마산합포구 월영남로 3, 4층 401.402호 (해운동)",민간,2002-12-02,055-247-5991,마산합포구,
454,697,큰사랑외과의원,2,경상남도 창원시 마산회원구 내서읍 삼계4길 17 (메디팜중앙약국),민간,2002-11-28,055-232-3160,마산회원구,내서읍
455,698,문창형내과의원,0,경상남도 창원시 마산합포구 3·15대로 12 (월남동5가),민간,2002-11-07,055-241-3399,마산합포구,
456,699,가족사랑의원,0,경상남도 창원시 마산회원구 구암남1길 78 (합성동),민간,2002-08-14,055-298-9778,마산회원구,
457,700,미래산부인과의원,28,"경상남도 창원시 마산합포구 3·15대로 32 (월남동4가, 미래산부인과)",민간,2002-07-16,055-221-3777,마산합포구,
458,701,경남학문외과의원,9,"경상남도 창원시 마산회원구 3·15대로 800 (합성동, 선비뇨기과의원)",민간,2002-06-25,055-256-0975,마산회원구,
459,702,이종흔안과의원,3,"경상남도 창원시 마산회원구 3·15대로 750 (합성동, 마산시외버스터미널)",민간,2002-06-08,055-299-5599,마산회원구,
460,703,정정은산부인과의원,1,"경상남도 창원시 마산합포구 가포로 8 (해운동, 선진빌딩)",민간,2002-06-04,055-243-0802,마산합포구,
461,704,류승환내과의원,0,경상남도 창원시 마산회원구 내서읍 삼계6길 14 (포인포),민간,2002-04-13,055-232-8520,마산회원구,내서읍
462,705,어시장효자손마취통증의학과의원,0,"경상남도 창원시 마산합포구 합포로 28 (남성동, 대동빌딩)",민간,2002-04-08,055-221-0046,마산합포구,
463,706,마산밝은안과의원,0,"경상남도 창원시 마산합포구 해안대로 15 (해운동, 파라다이스빌딩)",민간,2002-03-14,055-247-4782,마산합포구,
464,707,석전의원,0,"경상남도 창원시 마산회원구 석전동5길 37 (석전동, 석전의원)",민간,2002-03-11,055-298-3866,마산회원구,석전동
465,708,정규덕비뇨기과의원,0,"경상남도 창원시 마산합포구 월영동2길 3, 은아상가 4층 401·402호 (해운동)",민간,2002-01-02,055-247-5854,마산합포구,월영동
466,709,케이씨에스마산수외과의원,3,"경상남도 창원시 마산회원구 3·15대로 727 (합성동, 매디칼센타)",민간,2001-11-27,055-253-7532,마산회원구,
467,710,장편한내과의원,0,"경상남도 창원시 마산회원구 3·15대로 780 (합성동, 행복한메디컬)",민간,2001-11-16,055-295-3334,마산회원구,
468,711,삼성산부인과의원,0,경상남도 창원시 마산회원구 내서읍 호계본동로 17-2 (코오롱그랜드쇼핑),민간,2001-10-15,055-232-3688,마산회원구,내서읍
469,712,주의원,0,경상남도 창원시 마산합포구 허당로 50 (산호동),민간,2001-08-30,055-242-7282,마산합포구,산호동
470,713,박내과의원,0,"경상남도 창원시 마산회원구 3·15대로 605-3 (석전동, 박의원)",민간,2001-08-01,055-252-0378,마산회원구,석전동
471,714,누리안과의원,0,"경상남도 창원시 마산합포구 가포로 8 (해운동, 선진빌딩)",민간,2001-07-06,055-224-0075,마산합포구,
472,715,삼성정형외과의원,0,경상남도 창원시 마산회원구 내서읍 삼계4길 34,민간,2001-06-27,055-231-0008,마산회원구,내서읍
473,716,맑은의원,0,경상남도 창원시 마산회원구 3·15대로 727 (합성동),민간,2001-06-01,055-297-8275,마산회원구,
474,717,서울정형외과의원,14,"경상남도 창원시 마산합포구 3·15대로 261, 3.4.6층 (중앙동3가)",민간,2001-06-01,055-245-8275,마산합포구,중앙동
475,718,봉암중앙의원,1,경상남도 창원시 마산회원구 봉암북4길 8 (봉암동),민간,2001-05-16,055-256-3337,마산회원구,봉암동
476,719,혜승의원,4,경상남도 창원시 마산합포구 진동면 해양관광로 20 (진동수산업협동조합),민간,2001-04-20,055-272-0075,마산합포구,진동면
477,720,중앙자모의원,29,경상남도 창원시 마산회원구 3·15대로 485 (회원동),민간,2001-04-17,055-248-3333,마산회원구,
478,721,허성희산부인과의원,0,경상남도 창원시 마산합포구 합포로 243 (산호동),민간,2001-03-23,055-221-9777,마산합포구,산호동
479,722,파티마안과의원,2,"경상남도 창원시 마산합포구 합포로 26-1 (남성동, 경남약국)",민간,2001-03-08,055-242-3700,마산합포구,
480,723,참빛의원,0,경상남도 창원시 마산합포구 삼호로 53 (산호동),민간,2001-03-02,055-243-0436,마산합포구,산호동
481,724,현대의원,0,"경상남도 창원시 마산회원구 구암서1길 51 (구암동, 문윤수치과의원)",민간,2000-12-29,055-298-2993,마산회원구,
482,725,강내과의원,0,경상남도 창원시 마산합포구 산호북6길 26 (산호동),민간,2000-12-23,055-221-1002,마산합포구,산호동
483,726,신세계산부인과의원,0,"경상남도 창원시 마산합포구 해안대로 15 (해운동, 파라다이스빌딩)",민간,2000-07-05,055-247-6007,마산합포구,
484,727,김윤규방사선과의원,0,경상남도 창원시 마산회원구 3·15대로 779 (합성동),민간,2000-07-05,055-299-8575,마산회원구,
485,728,예일안과의원,6,"경상남도 창원시 마산회원구 3·15대로 659 (석전동, 예일안과)",민간,2000-04-19,055-296-6111,마산회원구,석전동
486,729,재건항운외과의원,4,"경상남도 창원시 마산회원구 북성로 107 (회원동, 재건약국)",민간,2000-03-30,055-247-7575,마산회원구,
487,730,성심내과의원,0,"경상남도 창원시 마산회원구 북성로 109 (회원동, 성심신경정형외과)",민간,2000-03-08,055-248-9800,마산회원구,
488,731,성심방사선과의원,0,경상남도 창원시 마산회원구 북성로 109 (회원동),민간,2000-03-08,055-243-2900,마산회원구,
489,732,세란정형외과의원,0,"경상남도 창원시 마산합포구 3·15대로 34 (월남동4가, 장원빌딩)",민간,2000-01-20,055-243-3721,마산합포구,
490,733,예일이비인후과의원,20,"경상남도 창원시 마산회원구 3·15대로 645 (석전동, 예일메디컬센터)",민간,2000-01-18,055-293-5775,마산회원구,석전동
491,734,이호성피부과의원,0,"경상남도 창원시 마산합포구 가포로 8 (해운동, 선진빌딩)",민간,1999-12-20,055-243-7475,마산합포구,
492,735,하사랑신경과의원,0,"경상남도 창원시 마산회원구 3·15대로 727 (합성동, 매디칼센타)",민간,1999-12-20,055-247-3031,마산회원구,
493,736,이두하내과의원,0,"경상남도 창원시 마산합포구 합포로 28 (남성동, 대동빌딩)",민간,1999-11-24,055-248-0100,마산합포구,
494,737,사마리아산부인과의원,0,"경상남도 창원시 마산합포구 용마로 53 (산호동, 사마리아의원)",민간,1999-09-01,055-241-0633,마산합포구,산호동
495,738,삼계중앙산부인과의원,0,경상남도 창원시 마산회원구 내서읍 삼계로 12,민간,1999-07-31,055-232-8161,마산회원구,내서읍
496,739,연세남성비뇨기과의원,0,"경상남도 창원시 마산합포구 서성로 48 (신포동2가, 대우메디칼빌딩)",민간,1999-06-09,055-222-5555,마산합포구,
497,740,창동학문외과의원,9,"경상남도 창원시 마산합포구 문화의길 5 (오동동, 창동학문외과의원)",민간,1999-04-12,055-223-0975,마산합포구,오동동
498,741,조문흠가정의학과의원,0,"경상남도 창원시 마산합포구 중앙남6길 103 (장군동3가, 조문흠가정의학과의원)",민간,1999-03-15,055-248-7474,마산합포구,
499,742,영의원,0,"경상남도 창원시 마산회원구 3·15대로 727 (합성동, 매디칼센타)",민간,1999-01-11,055-295-1188,마산회원구,
500,743,영남의원,0,경상남도 창원시 마산합포구 구산면 구산로 547 (새마을금고),민간,1998-11-09,055-221-1775,마산합포구,구산면
501,744,명내과의원,0,경상남도 창원시 마산회원구 내서읍 삼계로 12,민간,1998-10-23,055-232-8275,마산회원구,내서읍
502,745,성내과의원,0,경상남도 창원시 마산회원구 내서읍 상곡로 19 (신성네스트빌),민간,1998-09-28,055-232-3900,마산회원구,내서읍
503,746,세인성형외과의원,0,"경상남도 창원시 마산회원구 3·15대로 645 (석전동, 예일메디컬센터)",민간,1998-07-10,055-295-0111,마산회원구,석전동
504,747,김보현성형외과의원,0,"경상남도 창원시 마산회원구 3·15대로 744 (합성동, 송하빌딩)",민간,1998-04-26,055-299-6000,마산회원구,
505,748,서정철내과의원,0,"경상남도 창원시 마산회원구 율림교로 13, 4층 401호 (양덕동, 메트로엠)",민간,1998-03-02,055-256-7997,마산회원구,
506,749,김용태내과의원,0,"경상남도 창원시 마산회원구 북성로 120 (회원동, 김용태내과의원)",민간,1997-11-11,055-248-3737,마산회원구,
507,750,김의원,0,경상남도 창원시 마산합포구 진동면 서촌숲끝길 5 (김의원),민간,1997-05-16,055-271-8722,마산합포구,진동면
508,751,회성마취통증의학과의원,0,"경상남도 창원시 마산합포구 가포로 12 (해운동, 선진상가)",민간,1996-10-07,055-221-7051,마산합포구,
509,752,이상훈의원,0,경상남도 창원시 마산합포구 진동면 삼진의거대로 634,민간,1995-05-10,055-271-9490,마산합포구,진동면
510,753,박정형외과의원,0,"경상남도 창원시 마산회원구 3·15대로 605-3 (석전동, 박의원)",민간,1994-07-11,055-252-9401,마산회원구,석전동
511,754,오용구내과의원,0,"경상남도 창원시 마산회원구 3·15대로 727 (합성동, 매디칼센타)",민간,1994-03-28,055-255-0331,마산회원구,
512,755,중앙의원,0,"경상남도 창원시 마산회원구 북성로 329 (회성동, 중앙의원)",민간,1994-02-26,055-252-1190,마산회원구,회성동
513,756,이민희내과의원,0,경상남도 창원시 마산회원구 내서읍 호계본동로 17-2 (코오롱그랜드쇼핑),민간,1993-05-06,055-231-3081,마산회원구,내서읍
514,757,정안과의원,0,"경상남도 창원시 마산회원구 3·15대로 767, 1.2.3층 (합성동, 정안과의원)",민간,1992-05-06,055-252-1400,마산회원구,
515,758,배비뇨기과의원,0,"경상남도 창원시 마산합포구 해안대로 11 (해운동, 월드프라자)",민간,1992-04-22,055-244-0002,마산합포구,
